Population,2010,2011,2012,2013
USA,309000000.0,312000000.0,314000000.0,316000000.0
CHN,1360000000.0,1370000000.0,1380000000.0,1390000000.0
JPN,128000000.0,128000000.0,128000000.0,127000000.0
DEU,81800000.0,81000000.0,80400000.0,80600000.0
FRA,62900000.0,63200000.0,63500000.0,63800000.0
GBR,61900000.0,62400000.0,62900000.0,63200000.0
BRA,193000000.0,195000000.0,197000000.0,201000000.0
RUS,143000000.0,143000000.0,143000000.0,144000000.0
ITA,60500000.0,60600000.0,60900000.0,61200000.0
IND,1210000000.0,1220000000.0,1240000000.0,1250000000.0
